first_pokemon,second_pokemon,winner,first_pokemon_name,second_pokemon_name,winner_name
209,645,209,Yanma,Vanillish,Yanma
92,768,92,Doduo,Tyrantrum,Doduo
116,672,116,Hitmonchan,Axew,Hitmonchan
132,69,69,Mr. Mime,Abra,Abra
568,396,568,Stoutland,Snorunt,Stoutland
644,218,644,Vanillite,Wobbuffet,Vanillite
321,163,163,Makuhita,Mewtwo,Mewtwo
17,164,164,Weedle,Mega Mewtwo X,Mega Mewtwo X
715,190,715,Keldeo Resolute Forme,Togepi,Keldeo Resolute Forme
51,57,51,Vileplume,Dugtrio,Vileplume
237,448,448,Slugma,Kricketune,Kricketune
580,676,580,Tranquill,Beartic,Tranquill
789,726,726,Bergmite,Frogadier,Frogadier
420,718,420,Latios,Genesect,Latios
83,499,499,Golem,Mega Lucario,Mega Lucario
526,159,159,Porygon-Z,Moltres,Moltres
115,56,56,Hitmonlee,Diglett,Diglett
358,636,358,Grumpig,Gothita,Grumpig
54,532,532,Venonat,Rotom,Rotom
534,798,534,Wash Rotom,Hoopa Confined,Wash Rotom
768,179,768,Tyrantrum,Noctowl,Tyrantrum
94,724,724,Seel,Delphox,Delphox
795,437,795,Zygarde Half Forme,Monferno,Zygarde Half Forme
313,432,432,Vigoroth,Deoxys Speed Forme,Deoxys Speed Forme
305,251,305,Kirlia,Phanpy,Kirlia
269,289,269,Mega Tyranitar,Wurmple,Mega Tyranitar
593,733,733,Timburr,Scatterbug,Scatterbug
568,428,428,Stoutland,Jirachi,Jirachi
290,287,287,Silcoon,Zigzagoon,Zigzagoon
762,733,762,Dragalge,Scatterbug,Dragalge
217,100,100,Unown,Gastly,Gastly
668,87,668,Beheeyem,Slowbro,Beheeyem
165,49,165,Mega Mewtwo Y,Oddish,Mega Mewtwo Y
123,771,771,Tangela,Sylveon,Sylveon
261,154,154,Miltank,Aerodactyl,Aerodactyl
225,640,640,Mega Steelix,Duosion,Duosion
313,103,103,Vigoroth,Mega Gengar,Mega Gengar
106,505,505,Hypno,Toxicroak,Toxicroak
453,614,614,Roserade,Krookodile,Krookodile
107,48,48,Krabby,Golbat,Golbat
722,590,590,Fennekin,Excadrill,Excadrill
559,431,431,Pignite,Deoxys Defense Forme,Deoxys Defense Forme
141,727,727,Gyarados,Greninja,Greninja
490,239,490,Chatot,Swinub,Chatot
490,340,340,Chatot,Mega Manectric,Mega Manectric
373,128,128,Whiscash,Goldeen,Goldeen
3,730,3,Venusaur,Fletchling,Venusaur
502,91,502,Skorupi,  Farfetch'd  ,Skorupi
714,104,714,Keldeo Ordinary Forme,Onix,Keldeo Ordinary Forme
788,276,276,Gourgeist Super Size,Mega Sceptile,Mega Sceptile
459,16,16,Wormadam Plant Cloak,Butterfree,Butterfree
432,143,432,Deoxys Speed Forme,Lapras,Deoxys Speed Forme
724,2,724,Delphox,Ivysaur,Delphox
648,533,648,Sawsbuck,Heat Rotom,Sawsbuck
250,357,250,Kingdra,Spoink,Kingdra
155,439,155,Mega Aerodactyl,Piplup,Mega Aerodactyl
447,20,20,Kricketot,Mega Beedrill,Mega Beedrill
366,371,366,Altaria,Solrock,Altaria
337,770,337,Mega Medicham,Aurorus,Mega Medicham
358,765,358,Grumpig,Helioptile,Grumpig
198,110,198,Bellossom,Electrode,Bellossom
152,760,760,Kabuto,Barbaracle,Barbaracle
164,577,164,Mega Mewtwo X,Munna,Mega Mewtwo X
174,646,646,Croconaw,Vanilluxe,Vanilluxe
438,59,59,Infernape,Persian,Persian
614,443,614,Krookodile,Staravia,Krookodile
789,127,127,Bergmite,Seadra,Seadra
504,421,421,Croagunk,Mega Latios,Mega Latios
565,214,214,Watchog,Murkrow,Murkrow
158,635,635,Zapdos,Cinccino,Cinccino
386,21,21,Shuppet,Pidgey,Pidgey
408,404,404,Shelgon,Gorebyss,Gorebyss
349,440,349,Sharpedo,Prinplup,Sharpedo
410,295,410,Mega Salamence,Lombre,Mega Salamence
83,569,569,Golem,Purrloin,Purrloin
249,411,249,Mega Houndoom,Beldum,Mega Houndoom
173,609,173,Totodile,Petilil,Totodile
770,572,572,Aurorus,Simisage,Simisage
51,473,473,Vileplume,Drifloon,Drifloon
452,106,106,Budew,Hypno,Hypno
550,769,550,Darkrai,Amaura,Darkrai
525,740,525,Mamoswine,Florges,Mamoswine
464,762,762,Vespiquen,Dragalge,Dragalge
147,798,798,Jolteon,Hoopa Confined,Hoopa Confined
572,45,572,Simisage,Jigglypuff,Simisage
569,741,569,Purrloin,Skiddo,Purrloin
193,28,28,Xatu,Fearow,Fearow
247,445,247,Houndour,Bidoof,Houndour
511,280,280,Abomasnow,Mega Blaziken,Mega Blaziken
435,44,44,Torterra,Ninetales,Ninetales
794,359,794,Yveltal,Spinda,Yveltal
196,758,758,Ampharos,Malamar,Malamar
470,410,410,Shellos,Mega Salamence,Mega Salamence
631,164,164,Garbodor,Mega Mewtwo X,Mega Mewtwo X
451,790,451,Luxray,Avalugg,Luxray
211,442,442,Quagsire,Starly,Starly
773,582,773,Dedenne,Blitzle,Dedenne
403,59,59,Huntail,Persian,Persian
401,413,413,Walrein,Metagross,Metagross
228,679,679,Qwilfish,Accelgor,Accelgor
753,196,196,Spritzee,Ampharos,Ampharos
578,434,434,Musharna,  Grotle  ,  Grotle  
210,40,40,Wooper,Nidoking,Nidoking
38,716,716,Nidoran♂,Meloetta Aria Forme,Meloetta Aria Forme
18,458,458,Kakuna,Burmy,Burmy
538,742,538,Uxie,Gogoat,Uxie
702,627,702,Virizion,Carracosta,Virizion
403,412,403,Huntail,Metang,Huntail
517,136,136,Tangrowth,Magmar,Magmar
465,89,465,Pachirisu,Magnemite,Pachirisu
505,502,505,Toxicroak,Skorupi,Toxicroak
601,644,644,Sewaddle,Vanillite,Vanillite
459,84,84,Wormadam Plant Cloak,Ponyta,Ponyta
548,525,525,Phione,Mamoswine,Mamoswine
707,521,521,Reshiram,Yanmega,Yanmega
14,62,62,Caterpie,Mankey,Mankey
728,501,728,Bunnelby,Hippowdon,Bunnelby
182,246,246,Spinarak,Skarmory,Skarmory
741,117,741,Skiddo,Lickitung,Skiddo
29,431,431,Ekans,Deoxys Defense Forme,Deoxys Defense Forme
719,574,574,Chespin,Simisear,Simisear
209,477,477,Yanma,Mega Lopunny,Mega Lopunny
492,37,37,Gible,Nidoqueen,Nidoqueen
425,43,425,Primal Groudon,Vulpix,Primal Groudon
207,284,284,Sunkern,Mega Swampert,Mega Swampert
749,512,512,Honedge,Mega Abomasnow,Mega Abomasnow
539,153,153,Mesprit,Kabutops,Kabutops
152,159,159,Kabuto,Moltres,Moltres
738,18,738,Flabébé,Kakuna,Flabébé
182,579,579,Spinarak,Pidove,Pidove
69,302,69,Abra,Wingull,Abra
173,713,713,Totodile,Kyurem White Kyurem,Kyurem White Kyurem
488,199,488,Mime Jr.,Marill,Mime Jr.
683,506,683,Druddigon,Carnivine,Druddigon
2,619,2,Ivysaur,Dwebble,Ivysaur
735,255,735,Vivillon,Smeargle,Vivillon
70,800,70,Kadabra,Volcanion,Kadabra
120,67,67,Rhyhorn,Poliwhirl,Poliwhirl
738,610,610,Flabébé,Lilligant,Lilligant
68,397,397,Poliwrath,Glalie,Glalie
540,714,540,Azelf,Keldeo Ordinary Forme,Azelf
184,197,184,Crobat,Mega Ampharos,Crobat
577,58,58,Munna,Meowth,Meowth
750,29,29,Doublade,Ekans,Ekans
391,640,391,Tropius,Duosion,Tropius
211,737,211,Quagsire,Pyroar,Quagsire
462,694,694,Mothim,Durant,Durant
337,147,147,Mega Medicham,Jolteon,Jolteon
459,644,644,Wormadam Plant Cloak,Vanillite,Vanillite
615,652,615,Darumaka,Foongus,Darumaka
786,180,786,Gourgeist Small Size,Ledyba,Gourgeist Small Size
247,594,594,Houndour,Gurdurr,Gurdurr
536,720,536,Fan Rotom,Quilladin,Fan Rotom
729,586,586,Diggersby,Gigalith,Gigalith
715,80,715,Keldeo Resolute Forme,Tentacruel,Keldeo Resolute Forme
516,740,516,Rhyperior,Florges,Rhyperior
440,525,525,Prinplup,Mamoswine,Mamoswine
174,410,410,Croconaw,Mega Salamence,Mega Salamence
634,424,424,Minccino,Groudon,Groudon
252,797,797,Donphan,Mega Diancie,Mega Diancie
317,294,317,Shedinja,Lotad,Shedinja
463,790,790,Combee,Avalugg,Avalugg
770,7,7,Aurorus,Charizard,Charizard
110,783,110,Electrode,Pumpkaboo Large Size,Electrode
454,469,469,Cranidos,Cherrim,Cherrim
241,731,241,Corsola,Fletchinder,Corsola
688,190,688,Bouffalant,Togepi,Bouffalant
271,21,271,Ho-oh,Pidgey,Ho-oh
738,789,738,Flabébé,Bergmite,Flabébé
476,223,476,Lopunny,Gligar,Lopunny
574,283,574,Simisear,Swampert,Simisear
621,551,551,Scraggy,Shaymin Land Forme,Shaymin Land Forme
723,617,723,Braixen,Darmanitan Zen Mode,Braixen
1,679,679,Bulbasaur,Accelgor,Accelgor
595,131,595,Conkeldurr,Starmie,Conkeldurr
433,339,339,Turtwig,Manectric,Manectric
247,452,247,Houndour,Budew,Houndour
19,709,709,Beedrill,Landorus Incarnate Forme,Landorus Incarnate Forme
410,278,410,Mega Salamence,Combusken,Mega Salamence
103,142,103,Mega Gengar,Mega Gyarados,Mega Gengar
37,337,337,Nidoqueen,Mega Medicham,Mega Medicham
453,29,453,Roserade,Ekans,Roserade
73,113,113,Machop,Cubone,Cubone
374,87,374,Corphish,Slowbro,Corphish
634,784,784,Minccino,Pumpkaboo Super Size,Pumpkaboo Super Size
681,790,681,Mienfoo,Avalugg,Mienfoo
181,765,181,Ledian,Helioptile,Ledian
584,498,498,Roggenrola,Lucario,Lucario
586,590,590,Gigalith,Excadrill,Excadrill
732,1,732,Talonflame,Bulbasaur,Talonflame
478,524,478,Mismagius,Gliscor,Mismagius
734,19,19,Spewpa,Beedrill,Beedrill
634,348,634,Minccino,Carvanha,Minccino
567,755,567,Herdier,Swirlix,Herdier
354,82,354,Camerupt,Graveler,Camerupt
417,783,417,Registeel,Pumpkaboo Large Size,Registeel
420,85,420,Latios,Rapidash,Latios
610,215,610,Lilligant,Slowking,Lilligant
350,160,350,Mega Sharpedo,Dratini,Mega Sharpedo
122,588,588,Chansey,Swoobat,Swoobat
159,77,159,Moltres,Weepinbell,Moltres
398,598,398,Mega Glalie,Seismitoad,Mega Glalie
300,704,704,Taillow,Tornadus Therian Forme,Tornadus Therian Forme
508,293,508,Lumineon,Dustox,Lumineon
763,685,685,Clauncher,Golurk,Golurk
428,203,428,Jirachi,Hoppip,Jirachi
509,199,509,Mantyke,Marill,Mantyke
106,592,106,Hypno,Mega Audino,Hypno
550,394,550,Darkrai,Mega Absol,Darkrai
310,48,48,Shroomish,Golbat,Golbat
80,314,314,Tentacruel,Slaking,Slaking
463,203,463,Combee,Hoppip,Combee
484,9,9,Skuntank,Mega Charizard Y,Mega Charizard Y
700,49,700,Cobalion,Oddish,Cobalion
437,533,533,Monferno,Heat Rotom,Heat Rotom
73,485,73,Machop,Bronzor,Machop
627,314,314,Carracosta,Slaking,Slaking
216,657,216,Misdreavus,Joltik,Misdreavus
126,617,126,Horsea,Darmanitan Zen Mode,Horsea
632,707,707,Zorua,Reshiram,Reshiram
692,331,692,Mandibuzz,Aron,Mandibuzz
11,309,309,Wartortle,Masquerain,Masquerain
483,22,483,Stunky,Pidgeotto,Stunky
665,170,170,Eelektrik,Cyndaquil,Cyndaquil
540,337,540,Azelf,Mega Medicham,Azelf
39,299,299,Nidorino,Shiftry,Shiftry
761,762,762,Skrelp,Dragalge,Dragalge
441,1,441,Empoleon,Bulbasaur,Empoleon
434,137,137,  Grotle  ,Pinsir,Pinsir
700,433,700,Cobalion,Turtwig,Cobalion
52,379,379,Paras,Cradily,Cradily
158,171,158,Zapdos,Quilava,Zapdos
769,374,769,Amaura,Corphish,Amaura
789,690,690,Bergmite,Braviary,Braviary
393,255,255,Absol,Smeargle,Smeargle
307,741,307,Mega Gardevoir,Skiddo,Mega Gardevoir
528,492,528,Mega Gallade,Gible,Mega Gallade
212,24,24,Espeon,Mega Pidgeot,Mega Pidgeot
99,173,99,Cloyster,Totodile,Cloyster
58,253,58,Meowth,Porygon2,Meowth
226,289,226,Snubbull,Wurmple,Snubbull
365,609,365,Swablu,Petilil,Swablu
409,532,409,Salamence,Rotom,Salamence
647,294,647,Deerling,Lotad,Deerling
15,756,756,Metapod,Slurpuff,Slurpuff
196,774,196,Ampharos,Carbink,Ampharos
265,68,265,Suicune,Poliwrath,Suicune
564,749,749,Patrat,Honedge,Honedge
750,248,248,Doublade,Houndoom,Houndoom
142,107,142,Mega Gyarados,Krabby,Mega Gyarados
427,404,427,Mega Rayquaza,Gorebyss,Mega Rayquaza
454,302,302,Cranidos,Wingull,Wingull
323,574,574,Azurill,Simisear,Simisear
262,67,67,Blissey,Poliwhirl,Poliwhirl
710,434,710,Landorus Therian Forme,  Grotle  ,Landorus Therian Forme
291,666,291,Beautifly,Eelektross,Beautifly
233,445,233,Mega Heracross,Bidoof,Mega Heracross
126,494,494,Horsea,Garchomp,Garchomp
252,108,108,Donphan,Kingler,Kingler
69,212,212,Abra,Espeon,Espeon
120,342,120,Rhyhorn,Minun,Rhyhorn
224,173,173,Steelix,Totodile,Totodile
695,94,94,Deino,Seel,Seel
672,355,672,Axew,Mega Camerupt,Axew
409,254,409,Salamence,Stantler,Salamence
195,607,607,Flaaffy,Cottonee,Cottonee
528,327,327,Mega Gallade,Sableye,Sableye
127,81,127,Seadra,Geodude,Seadra
698,336,336,Larvesta,Medicham,Medicham
422,705,705,Kyogre,Thundurus Incarnate Forme,Thundurus Incarnate Forme
432,397,432,Deoxys Speed Forme,Glalie,Deoxys Speed Forme
409,376,409,Salamence,Baltoy,Salamence
582,424,424,Blitzle,Groudon,Groudon
521,268,521,Yanmega,Tyranitar,Yanmega
304,708,708,Ralts,Zekrom,Zekrom
385,492,492,Kecleon,Gible,Gible
560,70,560,Emboar,Kadabra,Emboar
545,149,149,Giratina Altered Forme,Porygon,Porygon
68,362,362,Poliwrath,Flygon,Flygon
672,732,732,Axew,Talonflame,Talonflame
632,14,632,Zorua,Caterpie,Zorua
641,341,341,Reuniclus,Plusle,Plusle
365,428,428,Swablu,Jirachi,Jirachi
594,425,425,Gurdurr,Primal Groudon,Primal Groudon
764,529,764,Clawitzer,Probopass,Clawitzer
397,161,397,Glalie,Dragonair,Glalie
111,670,670,Exeggcute,Lampent,Lampent
219,738,219,Girafarig,Flabébé,Girafarig
408,647,647,Shelgon,Deerling,Deerling
516,107,107,Rhyperior,Krabby,Krabby
622,736,736,Scrafty,Litleo,Litleo
212,128,212,Espeon,Goldeen,Espeon
685,648,648,Golurk,Sawsbuck,Sawsbuck
406,420,420,Luvdisc,Latios,Latios
501,689,689,Hippowdon,Rufflet,Rufflet
533,211,533,Heat Rotom,Quagsire,Heat Rotom
413,580,413,Metagross,Tranquill,Metagross
74,277,277,Machoke,Torchic,Torchic
460,713,713,Wormadam Sandy Cloak,Kyurem White Kyurem,Kyurem White Kyurem
450,8,8,Luxio,Mega Charizard X,Mega Charizard X
376,196,196,Baltoy,Ampharos,Ampharos
292,510,510,Cascoon,Snover,Snover
282,186,282,Marshtomp,Lanturn,Marshtomp
384,699,699,Castform,Volcarona,Volcarona
295,741,741,Lombre,Skiddo,Skiddo
346,790,346,Gulpin,Avalugg,Gulpin
